fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi,pesticide_mass,population
51161,441.5,134.4200619587947,138.8,26.13,29.822372072040253,,10.6,7.2,40.39309708817822,27.803400262631644,24.8,5.7,87.7,16.72,65467.0,21.61567643964592,4214.0,3.398068762449121,2.1,12.99108423748446,4.851067447371498,4.9711486350063225,14.528761038436608,7.24275598533567,116.89319150292764,37.0,2090.0,94103.0
51163,439.4,134.4200619587947,118.3,17.901163960379396,43.7,18.59,9.131338987192404,5.767699511626214,40.39309708817822,27.803400262631644,24.3,5.0592975116944015,102.1,18.668440836763804,54805.0,25.796374516015486,4167.0,7.289191733536558,1.3,22.23248856036607,8.24973600844773,6.925378387891587,8.11334037310806,4.661794541559066,,44.0,21390.1,22728.0
51165,445.7,134.4200619587947,127.9,21.4,41.8,11.1,15.2,6.07,40.39309708817822,27.803400262631644,19.4,5.71,,23.69,59817.0,18.897434001331067,,2.77668579814975,3.0,15.323276393305232,10.087751731617738,10.0359880697084,11.897014962163228,5.159193897689492,366.0430377874732,41.0,197111.1,81138.0
51167,,181.79,,22.97,29.822372072040253,15.07,9.131338987192404,5.767699511626214,40.39309708817822,52.48,,5.0592975116944015,,21.83,,21.327542042543712,,0.9828009828009828,0.1,31.035378846939157,13.921372090433234,8.007573226417195,3.4859115714444817,4.535056674572279,289.56453948101125,,15038.8,26937.0
51169,,201.41,,15.99,29.822372072040253,15.72,9.131338987192404,5.767699511626214,40.39309708817822,60.91,,11.69,,18.49,,24.070584991498556,,5.699615998619321,0.5,25.8581866642158,13.395524102752631,8.597950461835394,3.455723542116631,4.242188801531055,,,8875.65,21761.0
51171,,172.83,122.3,28.8,40.4,13.3,11.0,7.71,67.8,46.35,16.7,4.92,,23.42,54921.0,21.49121797380355,,3.198152072964542,3.2,22.501784028912777,8.538017080638106,7.361708984599802,12.854216063166133,5.55566267851553,57.54931976704035,,71130.1,43441.0
51173,,196.06,,16.59,29.822372072040253,20.48,8.7,6.65,69.0,61.88,,9.01,,16.83,,22.12253184452667,4114.0,1.148782911077993,0.8,29.62114018140738,12.164772913323947,8.762565899341825,6.0119846753331805,5.144348927404778,1234.487049346737,,18792.6,30539.0
51175,483.6,134.4200619587947,147.3,17.901163960379396,46.9,,9.131338987192404,5.767699511626214,71.3,42.95,20.1,5.0592975116944015,127.9,18.668440836763804,54611.0,19.961859891188517,4245.0,5.094238018309101,0.3,16.80969207470974,10.998934320489091,5.474227382354591,39.11043805036738,4.221305535506271,,,258797.3,17829.0
51177,451.5,134.4200619587947,121.1,25.72,37.7,15.98,14.2,6.26,73.1,42.17,19.0,4.01,106.6,13.57,85330.0,14.13318681645048,4175.0,4.978880201312124,4.1,11.905734205504778,5.790634304255176,7.568141487789848,32.74058344408723,6.2806872026056215,115.08505156552796,,13031.5,134683.0
51179,441.4,134.4200619587947,130.0,17.11,38.1,13.67,12.1,4.39,62.4,41.11,18.7,4.26,112.4,11.47,106773.0,10.41448879715018,4152.0,4.326889524740038,5.4,8.470220061923628,4.467823018277458,7.522056130772048,40.17911242800546,6.608868242595638,139.82754602656723,46.0,23343.2,150185.0
