Demographics, US by County, Population, Hispanic (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Wyandotte, Kansas","20209","28.4"
"Garfield, Colorado","8045","28.2"
"Hall, Georgia","13139","28.1"
"Hillsborough, Florida","12057","28.0"
"Queens, New York","36081","28.0"
"Crawford, Iowa","19047","27.8"
"Collingsworth, Texas","48087","27.8"
"Chelan, Washington","53007","27.8"
"Yuba, California","6115","27.8"
"Comanche, Texas","48093","27.6"
"Collier, Florida","12021","27.5"
"Jones, Texas","48253","27.4"
"Mono, California","6051","27.3"
"Aransas, Texas","48007","27.3"
"Hall, Nebraska","31079","27.2"
"Cassia, Idaho","16031","27.2"
"Nobles, Minnesota","27105","27.2"
"Comal, Texas","48091","27.1"
"La Paz, Arizona","4012","27.1"
"Navarro, Texas","48349","26.8"
"Humboldt, Nevada","32013","26.7"
"Kerr, Texas","48265","26.7"
"Owyhee, Idaho","16073","26.6"
"Sonoma, California","6097","26.5"
"Austin, Texas","48015","26.4"
"Wheeler, Texas","48483","26.4"
"Hartley, Texas","48205","26.4"
"Umatilla, Oregon","41059","26.4"
"Tillman, Oklahoma","40141","26.4"
"Marion, Oregon","41047","26.3"
"Milam, Texas","48331","26.2"
"Solano, California","6095","26.1"
"McLennan, Texas","48309","26.1"
"Lander, Nevada","32015","26.1"
"New York, New York","36061","26.0"
"Ellis, Texas","48139","25.9"
"Santa Clara, California","6085","25.8"
"Contra Costa, California","6013","25.4"
"Kimble, Texas","48267","25.3"
"Brazos, Texas","48041","25.3"
"Buena Vista, Iowa","19021","25.2"
"Cook, Illinois","17031","25.2"
"Okeechobee, Florida","12093","25.2"
"Canyon, Idaho","16027","25.1"
"Mendocino, California","6045","24.8"
"Camp, Texas","48063","24.7"
"San Mateo, California","6081","24.7"
"Tehama, California","6103","24.7"
"Saline, Nebraska","31151","24.6"
"Echols, Georgia","13101","24.6"
"Hampden, Massachusetts","25013","24.6"
"Atkinson, Georgia","13003","24.6"
"Irion, Texas","48235","24.5"
"Watonwan, Minnesota","27165","24.5"
"Bell, Texas","48027","24.4"
