fips,pesticide_mass
25013,10745.949999999999
25015,23189.4
25017,10951.8
25019,788.2
25021,1991.5
25023,7529.2
25025,453.8
25027,38444.200000000004
26001,5510.1
26003,2399.75
26005,194602.8
26007,23974.05
26009,37502.95
26011,71860.0
26013,3913.85
26015,103525.55
26017,231629.65
26019,10963.65
26021,189450.65000000002
26023,227524.05000000002
26025,182913.15000000002
26027,179656.2
26029,6442.05
26031,1274.55
26033,4860.1
26035,11563.55
26037,189059.1
26039,506.9
26041,33102.55
26043,12883.85
26045,171407.8
26047,3129.4
26049,102514.2
26051,20711.95
26053,2177.65
26055,30794.4
26057,206108.8
26059,203883.15
26061,4491.900000000001
26063,486682.15
26065,145086.55000000002
26067,199937.0
26069,19956.949999999997
26071,17295.75
26073,97028.90000000001
26075,117155.45
26077,106370.9
26079,30021.800000000003
26081,242914.6
26083,150.35000000000002
26085,8998.4
26087,118810.09999999999
26089,51382.2
26091,338487.45
26093,56343.1
26095,12273.499999999998
26097,16699.0
26099,83487.85
26101,16801.4
26103,2778.2000000000003
26105,206956.15
26107,36625.9
26109,83617.25
26111,47560.9
26113,47024.9
26115,201947.0
26117,181300.25
26119,5966.8
26121,92942.5
26123,86590.05
26125,17812.3
26127,744683.25
26129,13376.300000000001
26131,15504.9
26133,19434.95
26135,15366.15
26137,19093.749999999996
26139,178887.0
26141,53709.350000000006
26143,2879.35
26145,287949.3
26147,138617.3
26149,282074.3
26151,351576.85
26153,4239.55
26155,167123.05
26157,299059.05
26159,142482.6
26161,138551.19999999998
26163,9093.449999999999
26165,22558.6
27001,8211.6
27003,17503.95
27005,171449.75
27007,32896.3
27009,205029.30000000002
27011,216682.34999999998
27013,394180.35000000003
27015,364867.6
27017,2053.3
27019,104254.95
27021,24517.95
27023,410977.05
27025,53818.2
27027,485191.95
27029,43561.9
27031,155.7
27033,422867.3
27035,13067.6
27037,254196.8
27039,261291.55
27041,149460.4
27043,446332.95
27045,260301.19999999998
27047,433215.9
27049,333084.8
27051,302552.45
27053,25764.05
27055,87242.05
27057,41897.3
27059,80957.1
27061,19448.6
27063,401497.2
27065,32869.9
27067,408350.0
27069,295945.7
27071,22200.9
27073,323878.0
27075,155.35
27077,59828.65
27079,223256.15
27081,279632.65
27083,421701.15
27085,211314.0
27087,150538.25
27089,440805.95000000007
27091,502706.15
27093,210460.19999999998
27095,53013.1
27097,195520.2
27099,438820.8
27101,437518.95
27103,263256.8
27105,481995.45
27107,369682.14999999997
27109,221540.09999999998
27111,393122.5
27113,148528.95
27115,41424.5
27117,250362.35
27119,643801.1
27121,255761.75
27123,4225.1
27125,142613.6
27127,607921.85
27129,728970.9
27131,185575.0
27133,314399.35
27135,241370.94999999998
27137,46174.5
27139,87739.95
27141,358027.0
27143,313840.75
27145,352833.39999999997
27147,260091.8
27149,284503.7
27151,288481.6
27153,153947.95
27155,343393.1
27157,146386.1
27159,55680.95
27161,266030.6
27163,45973.25
27165,260990.35
27167,472765.5
27169,147602.05000000002
27171,152820.65
27173,324912.0
28001,33277.25
28003,60394.45
28005,7495.150000000001
28007,18732.600000000002
28009,47431.6
28011,657744.7000000001
28013,109258.55
28015,159749.6
28017,82558.8
28019,12542.15
28021,23892.05
28023,4015.5
28025,20419.45
28027,644381.85
28029,9935.050000000001
28031,16250.15
28033,128128.04999999999
28035,9632.050000000001
28037,5355.55
28039,39713.45
28041,40046.55
28043,10080.55
28045,4153.4
28047,2180.55
28049,57569.15
28051,319662.55000000005
28053,307277.7
28055,197960.35
28057,25993.45
28059,14595.4
28061,7513.5
28063,7945.1
28065,11984.15
28067,15853.25
28069,5652.85
28071,36623.95
28073,7556.95
28075,4605.05
28077,24950.95
28079,12630.5
28081,118963.15
28083,554105.3
28085,9768.300000000001
28087,94914.5
28089,99615.2
28091,7850.55
28093,79146.95
28095,111334.1
28097,35928.65
28099,8373.55
28101,18636.7
28103,168603.2
