fips,total_hospitals
54027,1
54033,3
54035,1
54037,1
54039,9
54041,2
54045,1
54047,1
54049,1
54051,1
54053,1
54055,3
54057,1
54059,1
54061,5
54065,1
54067,1
54069,4
54075,1
54077,1
54079,1
54081,3
54083,1
54087,1
54089,1
54091,1
54095,1
54097,1
54099,2
54101,1
54103,1
54107,2
55001,1
55003,1
55005,3
55009,8
55013,1
55015,1
55017,2
55019,2
55021,2
55023,1
55025,10
55027,3
55029,1
55031,1
55033,1
55035,5
55039,3
55043,4
55045,1
55047,1
55049,1
55053,1
55055,1
55057,1
55059,3
55063,2
55065,1
55067,1
55069,2
55071,2
55073,4
55075,1
55079,27
55081,4
55083,2
55085,3
55087,3
55089,3
55091,1
55095,4
55097,2
55099,1
55101,5
55103,1
55105,5
55107,1
55109,4
55111,4
55113,1
55115,1
55117,2
55119,1
55121,2
55123,2
55125,1
55127,2
55129,3
55131,2
55133,14
55135,1
55137,1
55139,5
55141,3
56001,1
56003,2
56005,1
56007,1
56009,1
56011,1
56013,2
56015,2
56017,1
56019,1
56021,3
56023,2
56025,6
56027,1
56029,2
56031,1
56033,2
56037,2
56039,1
56041,2
56043,1
56045,1
60010,1
66010,3
69110,1
70150,1
72005,1
72009,1
72013,2
72015,1
72021,7
72023,1
72025,2
72031,2
72035,1
72041,2
72049,1
72053,2
72057,2
72061,1
72069,3
72081,1
72091,4
72097,6
72099,1
72107,1
72113,6
72125,2
72127,22
72141,1
72145,2
72147,1
72153,1
78010,1
78030,1
